sentence,relation,head,head_offset,tail,tail_offset
金民镐（英语：kim min-ho，1985年5月13日—）（韩语：진 민 호），是一名韩国职业足球运动员，担任前锋，现在效力于韩国全南天龙足球俱乐部,出生地,金民镐,0,韩国,44
来向东，男，汉族，1965年4月出生，黑龙江呼兰人，1985年11月加入中国共产党，1986年7月参加工作，大学学历、法学学士,出生地,来向东,0,黑龙江呼兰,19
《热爱》是韩国sbs于2013年9月28日起播出的周末连续剧，由裴泰燮导演，朴艺京编剧，成勋、崔允英、沈志浩、田光烈等主演1,导演,热爱,1,裴泰燮,32
近来，由著名导演鄢颇、周家文执导，吕佳容、丹尼斯·吴、蒋梦婕主演的都市情感剧《风光大嫁》赈灾安徽卫视热播中，该剧主要环绕了姐妹之间构成的“三角恋”剧情环绕打开,导演,风光大嫁,39,鄢颇,8
陈喜志，中国汉族人，毕业于江西农大园艺，2006年3月至今 在兴国县茶园乡任党委书记1人大主席，主持乡党委、人大全面工作，主管招商引资、新农村建设工作,国籍,陈喜志,0,中国,4
《我的孩子我的家》原名《今生》， 由导演毛卫宁执导， 周涌 、 慕星编剧，萨日娜、刘佩琦、徐玉琨主演,导演,我的孩子我的家,1,毛卫宁,20
《是谁在我耳边唱》是蔡国权原创、演唱的一首歌，收录在《创作我的歌32首》专辑中,所属专辑,是谁在我耳边唱,1,创作我的歌32首,27
中国青年网：由85岁空巢裸模王肃中，当红影视小演员林浩等主演，田万良执导的公益微电影《零元招租》在盐亭的取景热拍，让这座名不见经传的小县城盐亭热闹了起来,国籍,王肃,14,中国,0
《血腥数字》是由阿瑟·安德森执导的惊悚片，马修,导演,血腥数字,1,阿瑟·安德森,8
《逆袭吧，绯闻女王！》作者是烟朵朵，连载于17k小说网，小说类型是综合其它,连载网站,逆袭吧，绯闻女王！,1,17k小说网,21
《西苑街29号》是一部连载于17k小说网的网络小说，作者是闫兔子,连载网站,西苑街29号,1,17k小说网,14
《逐星者》是夏至若离创作的网络小说，发表于17k小说网,连载网站,逐星者,1,17k小说网,21
由执导过《闯关东2》等热播剧的著名导演杨磊与实力导演李伟联合执导的年代传奇大戏《乱世书香》目前正在北京紧张拍摄,导演,乱世书香,40,杨磊,19
韩琦(1008年—1075年)，字稚圭，自号赣叟，相州安阳(今河南安阳)人,祖籍,韩琦,0,相州安阳,25
偶像剧《梦幻公馆》由厦门卫视和厦门音像出版有限公司联手打造，导演彭喆执导，由国内帅气小生张殿菲和美女王萌黎将出演本剧中的男女主角,导演,梦幻公馆,4,彭喆,32
让小编来给你恶补一下：余玥，1991年9月28日出生于四川成都，中国女演员，毕业于北京电影学院表演系2010级,毕业院校,余玥,11,北京电影学院,41
简介黄文扬，男，壮族，1976年3月出生，籍贯广西都安，大学学历，2005年8月加入中国共产党，2000年7月参加工作,出生地,黄文扬,2,广西都安,23
日本电视剧《恋爱小恶魔》，由关西电视台ktv于2009年7月首播，讲述了一个吸血鬼和他喜欢的人的爱情故事,出品公司,恋爱小恶魔,6,关西电视台,14
《假戏真作》是陈正道执导，彭浩翔担任监制,导演,假戏真作,1,陈正道,7
所获荣誉2015年12月8日，在《自然》杂志举办的“2015科研·创新·创业国际研讨会”上，陈洪渊被授予2015年《自然》杰出导师奖，中国南方终身成就奖，获得5万人民币奖金,国籍,陈洪渊,46,中国,67
王诗龄是09年出身于北京，是李湘与王岳伦的女儿，也是因为参加《爸爸去哪儿》而成为“小童星”,出生地,王诗龄,0,北京,10
陈义时，男，1947年11月生，江苏扬州人，出身于雕版世家，13岁起随父学艺，在广陵古籍刻印社从事雕版数十年，是全国唯一一个获得雕版类高级工艺美术师技术职称的人，获得“江苏省首批非物质文化遗产代表性传承人”称号,出生地,陈义时,0,江苏扬州,16
《战火四千金》是北京金天地影视文化有限公司出品的红色情感谍战剧，由史晨风执导，曾泳醍、袁志博、贺丹丹、李若嘉等领衔主演,导演,战火四千金,1,史晨风,33
《不死青春》是连载于17k小说网的一本都市小说，作者是一切都是罪,连载网站,不死青春,1,17k小说网,10
《从爱情到幸福》（又名《女人的旗》）是由smg尚世影业、北京共和祥雨影视文化传媒有限公司、北京中传扬帆影视文化发展有限公司联合出品，龚朝辉执导，李威、姚笛、李沁、杜冠儒、霍泥芳等主演的现代电视剧,导演,从爱情到幸福,1,龚朝,66
黎红华老师，中山大学法律本科毕业，中南大学mba结业，于1989年起供职于湛江市农业生产资料公司，从业务员、部门经理、营总监一直做到公司副总，2006年起专职从事培训，期间曾受聘于广之旅旅行社培训总监、深圳卡天尼珠宝公司总经理等职,毕业院校,黎红华,0,中山大学,6
《红楼梦之贾琨》是毛毛猫二在起点中文网上连载的一本小说,连载网站,红楼梦之贾琨,1,起点中文网,14
彼得·杰克逊导演的《霍比特人》：那场说走就走的旅行,导演,霍比特人,10,彼得·杰克逊,0
说道富养女儿，最出名的就是李湘的女儿了，王诗龄，去上学也是豪车接送，连老师也来亲自接，还铺了红毯，从小的衣服都是名牌加身，首饰等也是不缺的，现在读的学校也是很有名的，好像不招收中国籍的,国籍,李湘,13,中国,88
"罗医泉,毕业于北京电影学院动画学院 本科 动画专业",毕业院校,罗医泉,0,北京电影学院,7
"《十面埋伏online》作为同名电影网游版，由天联世纪集团旗下北京天联世纪投资一亿元开发,并由张艺谋亲自担任艺术监制",导演,十面埋伏,1,张艺谋,47
《皇上，臣妾知错了》是竹晓霜寒创作的网络小说，发表于17k小说网,连载网站,皇上，臣妾知错了,1,17k小说网,26
中南卡通决定继续推出4部续作，分别为《天眼神虎》《天眼神牛》以及未公布的另两部,出品公司,天眼神虎,19,中南卡通,0
黎宜民（越南语：lê nghi d ），是越南后黎朝第一位废帝,国籍,黎宜民,0,越南,4
赫尔岑（1812年—1870年）出生在莫斯科一个大贵族家庭，但他却是其父和一位德国女性的私生子，故一直以“养子”的身份生活在自己家中，甚至无法继承父亲的姓氏“雅科夫列夫”，他的姓“赫尔岑”是父亲为他生造出来的，据说来自德语的“心”（herz）一词,出生地,赫尔岑,0,莫斯科,19
经大忠，男，羌族，1964年4月生，四川北川人，1991年6月中央党校经管专业大专毕业，2003年6月省委党校经济学专业研究生毕业，1984年7月参加工作，1985年7月加入中国共产党，经济师,国籍,经大忠,0,中国,87
原标题：土耳其发动对叙阿夫林地面军事行动 - 解放军报 - 中国军网据新华社安卡拉1月21日电 土耳其总理耶尔德勒姆21日宣布，土耳其军队当天上午已进入叙利亚边境，展开对叙北部阿夫林的地面军事行动,国籍,耶尔德勒姆,53,土耳其,4
1988年6月《济公》，上海广播电视台、杭州电视台（主演：吕凉），吕梁版济公和游本昌版是一起出的，但是知名度远远没有游本昌的济公高,出品公司,济公,8,杭州电视台,20
在此版《倩女幽魂》中，李翰祥导演尽显大师风范，细节考据，花尽心思，服装华丽，道具精致，重新塑造古典世界,导演,倩女幽魂,4,李翰祥,11
《左伟与杜叶的婚姻生活》改编自第六届鲁迅文学奖获得者胡学文1的小说《私人档案》，2由曹保平导演,导演,左伟与杜叶的婚姻生活,1,曹保平,42
g·米特斯（giannismitseas），希腊籍足球运动员，现效力于泰利普利斯，是球队的守门员之一,国籍,g·米特斯,0,希腊,22
《铁达尼邮轮沉浸记》是由让·尼古拉斯科执导的剧情片，克利夫顿·韦伯、芭芭拉·斯坦威克等主演,导演,铁达尼邮轮沉浸记,1,让·尼古拉斯科,12
杨振宁在西南联大的好友是黄昆和张守廉，他们三人经常在昆明的茶馆谈学论道，被人称为联大三剑客，后来这个朋友小圈子，又来了凌宁，从重庆中央大学转到西南联大,毕业院校,杨振宁,0,西南联大,4
《最美不过初相见》由许晴任监制，马薇薇任编剧，吴强任导演,导演,最美不过初相见,1,吴强,23
演员表剧评《战斗的青春》是王冀邢导演继战争题材红色经典剧《苦菜花》、《迎春花》、《山菊花》“三花”系列剧之后的又一姐妹篇,导演,战斗的青春,6,王冀邢,13
年油画家杨飞云调回中央美术学院油画系任教,毕业院校,杨飞云,4,中央美术学院,9
2013年9月，雷德福确认参演cw电视剧《侠胆雄狮》，饰演zach,出品公司,侠胆雄狮,21,cw,15
陈清桂简介陈清桂(1807～1883年)，原名龙超，号远馨，出生于福州市连江城关名医世家，为七世传人,出生地,陈清桂,0,福州市连江城关,33
《命运的轮转》是连载于起点中文网的网络小说，作者是风渡天涯,连载网站,命运的轮转,1,起点中文网,11
聚焦男主人公吴争的机长生涯，从工作过程中可能遇到的摩擦起笔，放大了一名机长“高空之上的无尽责任”与“落地之后的男孩人生”刘烨、雷佳音为老男人正名，什么老男人，人是old boy~江苏卫视《利刃出击》2月27日登陆江苏卫视，电视剧版的《红海行动》，杨烁、牟星、范雷、翟小兴、杜志国主演，《我是特种兵》系列的导演刘猛自编自导，讲述武警某部队突击大队长刘闯深得上级器重，组建了“猎豹”反恐突击队，与女特种兵的“女娲”突击队强强联合，打击恐怖组织的故事,导演,我是特种兵,143,刘猛,154
《自己的故事》是由李玲玉演唱的一首歌曲，收录在《电影 第九号悬案》专辑里,所属专辑,自己的故事,1,电影 第九号悬案,24
10月，在天津东亚运动会上，韦永丽以23秒71的成绩获得女子200米金牌31，以11秒57的成绩获得女子100米金牌32，与陶宇佳、林慧君、袁琦琦代表中国队以43秒66的成绩获得女子4*100米接力金牌，并打破赛会纪录4,国籍,韦永丽,14,中国,75
毕世杰、金喜在：《中国社会主义建设》第三章、第六章，教材，吉林教育出版社，长春，1993年6月版,国籍,金喜在,4,中国,9
唐乃康，字伯耆，浙江吴兴（今湖州）人，毕业于复旦公学、浙江高等学堂,毕业院校,唐乃康,0,复旦公学,22
《上海大风暴》是2006年1月李歇浦执导电视剧,导演,上海大风暴,1,李歇浦,15
人物经历吴海军，江苏南通如东人，1990年7月本科毕业于江苏教育学院（今江苏第二师范学院）数学系，获得学士学位,出生地,吴海军,4,江苏,8
《月中仙话》是鹿麓鲁撸噜写的网络小说连载于17k小说网,连载网站,月中仙话,1,17k小说网,21
《我们能不能》是林天爱的音乐作品，收录在《林天爱.全创作集》专辑中,所属专辑,我们能不能,1,林天爱.全创作集,21
个人简介张军华，女，学历硕士，职称讲师，学科方向会计理论，2001年毕业于沈阳农业大学会计学专业，获管理学学士学位,毕业院校,张军华,4,沈阳农业大学,37
制片人后，苏有朋开始尝试当导演，他执导的作品《左耳》不仅获得5亿这样不俗的票房，还收获不错的口碑，不仅上第20届华鼎奖电影50强，还收获了不少其他奖,导演,左耳,23,苏有朋,5
《青春万万岁》由益彩年华文化传媒有限公司出品，甘露执导，方逸伦、王思思、徐可等主演的电视剧,出品公司,青春万万岁,1,益彩年华文化传媒有限公司,8
"严山山,上海人，生于1976年11月,记者、编辑，明代著名散文家归有光（震川先生）嫡系后裔，世代居于上海",出生地,严山山,0,上海,4
参加《快乐女声》比赛佟晓雅来自四川音乐学院,毕业院校,佟晓雅,10,四川音乐学院,15
2007年凭借执导的莫文蔚的专辑《如果没有你》中的歌曲《天下大同》获得第18届台湾金曲奖最佳音乐录像带导演奖,所属专辑,天下大同,28,如果没有你,17
"javary jean philippe,法国籍足球运动员",国籍,javary jean philippe,0,法国,21
网友纷纷表示心疼王劲松老师，他这样的水准不应该接拍这样的剧集，不过看看《新笑傲江湖》的导演也许可以明白，导演金琛曾执导过《麻雀》，王劲松老师在里面饰演李默群一角,导演,麻雀,61,金琛,54
基本信息董强刚，男，1983年毕业于浙江大学医学院（原浙江医科大学）医学系，获医学学士学位,毕业院校,董强刚,4,浙江大学,18
王德言，南京工学院本科毕业,毕业院校,王德言,0,南京工学院,4
《妖媚三公主的复仇之路》是冷嫣创作的网络小说，发表于17k小说网,连载网站,妖媚三公主的复仇之路,1,17k小说网,26
阿里创始人马云毕业于杭州师范大学,毕业院校,马云,5,杭州师范大学,10
吴佩慈，1978年10月4日出生于中国台湾新北市，祖籍无锡，中国演员、歌手,祖籍,吴佩慈,0,无锡,27
张磊，安徽省人，2004年毕业于中国人民大学财政金融学院，金融学硕士，先后任职于中国人保、中国人寿、中国光大银行和兴业银行，金融行业从业十余年123,国籍,张磊,0,中国,16
《默与犬逗》是一部在云中书城连载的小说，作者是犬犬,连载网站,默与犬逗,1,云中书城,10
简介张发旺 研究员，1986年毕业于河北地质学院水工系，1996年在中国地质大学（北京）攻读硕士学位，2000年获得中国地质大学水文水资源专业博士学位,毕业院校,张发旺,2,河北地质学院,18
《火影之青梅已死》是佐阿青创作的网络小说，发表于晋江文学网,连载网站,火影之青梅已死,1,晋江文学网,24
《重生媚娘》是依偎在你怀里创作的网络小说，发表于17k小说网,连载网站,重生媚娘,1,17k小说网,24
3《西湖》由刘郎导演，共10集，于2006年开始拍摄，2010年3月1日在浙江卫视首播，荣获第22届电视文艺“星光奖”电视纪录片大奖,导演,西湖,2,刘郎,6
阿莫里·勒沃（法语：amaury leveaux，1985年11月2日，出生于贝尔福，法国游泳运动员,出生地,阿莫里·勒沃,0,贝尔福,39
现湖南芒果传媒有限公司（芒果影业）总裁，开拍电视剧有《一不小心爱上你》、《另一种灿烂生活》等,出品公司,另一种灿烂生活,37,芒果影业,12
《世界如此酷，单纯要有度》是2012年中国商业出版社出版的图书，作者是李兰芳,国籍,李兰芳,35,中国,19
就是在这样的家境下，刘家4兄弟除长子刘小立高中毕业后在家务农，过早分担父母肩上的责任外，次子刘立周于1992年考入中国矿业大学，三子刘开周1995年考入沈阳工业大学，四子刘海周1996年考入南开大学,国籍,刘开周,66,中国,57
《我主海洋》是在17k小说网连载的一部都市生活类小说，作者是生富,连载网站,我主海洋,1,17k小说网,8
刘继国，1946年8月生，内蒙古开鲁人，中专文化，中共党员，开富县保安乡江河农场党委书记，开鲁县第十二届人民代表大会代表,出生地,刘继国,0,内蒙古开鲁,13
张文著，男，北京电影学院摄影系61届摄影专业毕业，中共党员，先后就职于长春电影制片厂、峨眉电影制片厂摄影师,毕业院校,张文著,0,北京电影学院,6
《风雨中的爱情》是新月光创作的网络小说，发表于17k小说网,连载网站,风雨中的爱情,1,17k小说网,23
因主演张艺谋执导电影《山楂树之恋》被观众熟知，郑爽，1991年8月22日出生于辽宁省沈阳市，毕业于北京电影学院，中国内地影视女演员,毕业院校,郑爽,23,北京电影学院,49
《千面六公主》是红狐狸琉璃写的网络小说连载于小说吧,连载网站,千面六公主,1,小说吧,22
《我擦你爷爷的骚狐狸》是连载于晋江文学城的一本同人小说，作者是你妹,连载网站,我擦你爷爷的骚狐狸,1,晋江文学城,15
《忘记你不容易》是龙飘飘演唱的歌曲，收录于《龙情厚意1》专辑,所属专辑,忘记你不容易,1,龙情厚意1,22
吴忠观，四川绵阳人，1930 年10月生，我国著名人口学家，教授,出生地,吴忠观,0,四川绵阳,4
2005年参演胡玫执导历史剧《汉武大帝》，开始进入演艺圈,导演,汉武大帝,15,胡玫,7
郑杨声，男，1930年9月生，江西省临川市人，1950年7月毕业于原江西省立医学专科学校（现江西医学院前身）,毕业院校,郑杨声,0,江西省立医学专科学校,34
《速度与激情7》是环球影业出品的一部赛车题材动作片，是《速度与激情》系列的第7部，由温子仁执导，范迪塞尔、保罗沃克、杰森斯坦森、米歇尔罗德里格兹、道恩强森等主演，影片剧情将在多米尼克的团队和大反派德卡特肖之间展开，讲述德卡特肖为其弟报仇的故事，全球票房累计为15.15亿美元,导演,速度与激情7,1,温子仁,42
杨阳，中国传媒大学播音与主持艺术专业，1,毕业院校,杨阳,0,中国传媒大学,3
黄黎明，男，1971年9月出生，汉族，江苏泰兴人，1993年8月参加工作，1996年11月入党，研究生、法学硕士,出生地,黄黎明,0,江苏泰兴,19
孟泾清（1905—1936），山东人，1931年在哈尔滨工业大学读书期间加入中国共产党,国籍,孟泾清,0,中国,38
现场很多人前来送别，有着87版《红楼梦》的导演王扶林和许多演员,导演,红楼梦,16,王扶林,23
李浈，同济大学建筑系教授、博士生导师，毕业于东南大学,毕业院校,李浈,0,东南大学,22
宗小谦  男，1962年11月生，北京市人,出生地,宗小谦,0,北京,17
刘恒甫参演了父亲刘惠宁执导的电视剧《安娜的爱人》，就一个新人而言表现的还算不错,导演,安娜的爱人,18,刘惠宁,8
生平简介出生施雨农，1934年4月6日出生于江苏省启东县（现启东市）大生镇，  祖籍江苏省海门县（现海门市）,出生地,施雨农,6,江苏省启东县,22
郭良浩，男，1991年7月毕业于浙江师范大学物理系获物理专业学士学位，1994年7月毕业于北京大学电子学系获声学专业硕士学位，1999年6月毕业于中国科学院声学研究所获声学专业博士学位,毕业院校,郭良浩,0,浙江师范大学,16
基本简介刘德利，男，1936年11月生，山东人,出生地,刘德利,4,山东,20
《五行战士》是由于仁泰执导，安格斯·麦克菲戴恩等主演的剧情片,导演,五行战士,1,于仁泰,8
《没有你的夜晚》是歌手欧阳菲菲演唱的歌曲，出自专辑《拥抱》,所属专辑,没有你的夜晚,1,拥抱,26
王润涛，男，汉族，湖北仙桃人，1966年2月生，硕士研究生学历，历史学硕士学位，1991年7月参加工作，1987年4月加入中国共产党,出生地,王润涛,0,湖北仙桃,9
2016年，在蒋家骏执导的电视剧《射雕英雄传》里饰演梅超风她温暖娴静的微笑，在华美的舞台上，在灿烂的秋日下，谱写着最动人的旋律,导演,射雕英雄传,17,蒋家骏,7
乔恩·戈伦茨-斯坦科维奇（jongorenc-stankovic），1996年1月14日出生于斯洛文尼亚卢布尔雅那，斯洛文尼亚足球运动员，场上司职中后卫，现效力于英超的哈德斯菲尔德足球俱乐部,出生地,乔恩·戈伦茨-斯坦科维奇,0,卢布尔雅那,52
《我们的青春1977》是江海洋执导的知青题材剧，由沙溢、王媛可、杨子姗、宁晓志等主演,导演,我们的青春1977,1,江海洋,12
2003 年时，想更换生活方式的李骏“重出江湖”，一连执导拍摄了《中国式结婚》、《红色追缉令》、《祸福相依》、《零距离》、《求婚》和《落地请开手机》等多部热播电视剧,导演,落地请开手机,67,李骏,16
基本资料球员:皮亚尼  生日:1968年5月28日  身高:178cm  加盟日期:2001-7-27  球衣号码:999  国籍:法国  场上位置:后卫,国籍,皮亚尼,7,法国,66
《月圆花好》是由范烟桥作词，严华作曲，常石磊编曲，黄龄演唱的一首歌曲，收录于专辑《来日方长》中，发行于2017年05月15日,所属专辑,月圆花好,1,来日方长,41
个人经历葛庆友  年毕业于安徽艺术学院美术系,出生地,葛庆友,4,安徽,13
《第二文明》是连载于17k小说网的小说，作者是铜雀台主,连载网站,第二文明,1,17k小说网,10
易超伦  四川广安人，邓小平特级机要秘书，日本早稻田大学终身教授,祖籍,易超伦,0,四川广安,5
张铉哲，1993年7月毕业于延边农学院果林系，并获得农学学士学位,毕业院校,张铉哲,0,延边农学院,14
《恋爱星求人》是由香港电视广播有限公司制作，徐遇安监制，马浚伟、杨怡及谢天华领衔主演的时装情感剧，共20集，于2010年1月25日起在马来西亚华丽台首播,导演,恋爱星求人,1,徐遇安,22
任志远1931年生于上海，排行老六，她母亲陈琮英共生了9个子女，但有5个先后夭折或失失散于战争年代,出生地,任志远,0,上海,10
《杰茜驾到第一季》（newgirlseason1）是《杰茜驾到》系列剧的第一部，由杰克·卡斯丹、杰西·派瑞兹、佩顿·里德、杰森·温纳、米古尔·阿塔、约翰·汉博格联袂执导，佐伊·丹斯切尔、杰克·m·约翰森、马克思·格林菲尔德、汉娜·西蒙妮领衔主演的喜剧片,导演,杰茜驾到第一季,1,杰西·派瑞兹,48
iu通过剧组表示：“我很期待与我非常喜欢的电视剧《未生》的导演金元锡之间的合作,导演,未生,25,金元锡,31
《潜水》，是郝蕾演唱的一首歌曲，由自 在（郝蕾笔名）作词，无线电作曲，杨嘉松编曲，收录于郝蕾2011年发行的专辑《关于ta的伤心事》中,所属专辑,潜水,1,关于ta的伤心事,57
《天使爱上吸血鬼》是连载于17k小说网的一本小说，作者是杀青,连载网站,天使爱上吸血鬼,1,17k小说网,13
卫闻远[清]字承芳，中州（今河南）人,出生地,卫闻远,0,中州,10
许松，1982年6月生，土家族，重庆石柱土家族自治县人,出生地,许松,0,重庆石柱土家族自治县,16
"基本信息由中共太原市委宣传部策划投资，太原电视台历时两年精心制作，全景式深入展现太原五千年文明史和两千五百多年建城史的恢宏巨制——八集历史文化纪录片《太原五千年》,从4月9日开始在北京电视台新闻频道播出",出品公司,太原五千年,40,太原电视台,19
吴景才，山东义州府人，石匠出身,出生地,吴景才,0,山东义州府,4
③小说《大门客》所描述的内容只是作者个人观点，与创世中文网的立场无关，本站只为广大用户提供电子阅读平台,连载网站,大门客,4,创世中文网,24
《巫行记》是连载于17k小说网的一部网络小说，作者是花猫,连载网站,巫行记,1,17k小说网,9
2013年8月5日，《非你莫属》播出了由黄健翔继任主持人的首期节目,主持人,非你莫属,11,黄健翔,20
毛亨是战国末年鲁国（今山东曲阜一带）人,出生地,毛亨,0,鲁国,7
去年以来a股的持续上涨点燃了各路投资者的热情，但严重分化的二八行情又让不少散户发出买股票不如买基金的感慨，可如果你觉得机构投资者都是大赚的那就大错特错了，以私募基金公司广东新价值投资为例，其创始人罗伟广1974年生于广东顺德，虽然在2000年就获得暨南大学的经济学硕士，1995年即进入证券投资领域，而且在2009年曾以190%的优秀业绩获得年度私募冠军，却仍然有八成的产品在近一年以及今年以来的上涨行情中逆市下跌，亏损基金数量达到30只，这对于一家资产管理规模超百亿的私募基金公司而言实在说不过去,毕业院校,罗伟广,98,暨南大学,124
《在旧时光里深爱你》是在晋江文学城连载的小说，作者是小兽猊猊,连载网站,旧时光里,2,晋江文学城,12
中文名：达米安·斯坎内尔外文名：damian scannell国籍：英格兰出生日期：1985-04-28身高：178厘米体重：73公斤运动项目：足球场上位置：前卫惯用脚：右,国籍,达米安·斯坎内尔,4,英格兰,34
闫才忠，男，汉族，山东夏津人，大专学历，1959年4月生人，1980年10月加入中国共产员，1975年11月在夏津县税务局参加工作,国籍,闫才忠,0,中国,40
陈意涵被爆料带《16个夏天》导演许富翔见父母11月时陈意涵曾被拍上海密会据台湾媒体报道，艺人陈意涵2017年7月分手发型师男友tom，结束3年多的恋情后，她3度被拍同框《16个夏天》导演许富翔，其中2次还是一同返回住家，对此陈意涵经纪人并未回应，男方对此则是大打太极，22日被遇见“零伪装”的她带男方见父母，4人有说有笑一同用餐,导演,16个夏天,8,许富翔,16
《沧宇》是起点中文网连载的一部网络小说，作者是热雪寒空,连载网站,沧宇,1,起点中文网,5
人物经历前期渡边淳弥 (junya watanabe) 1961年出生在日本的福岛县，1984年毕业于东京文化服装学院设计科，一开始自然是寂寂无名，要立足于这个竞争激烈的时装界谈何容易，特别是这又是一个欧洲白人雄锯的领地,出生地,渡边淳弥,6,日本的福岛县,36
汪贻奎，男，汉族，安徽枞阳人，大学学历，理学学士,出生地,汪贻奎,0,安徽枞阳,9
演艺经历崭头露角伊利亚·卡赞于20世纪30年代开始参加纽约剧团，先后从事演员和导演工作，并很快展现出才华，执导了威廉斯的舞台剧《欲望号街车》，但卡赞最终选择转入电影业,导演,欲望号街车,64,伊利亚·卡赞,8
《以力证神》是一本连载在纵横中文网的小说，作者是四月初八,连载网站,以力证神,1,纵横中文网,12
孙玉卿，女，出生于1964年12月，山西人，毕业于暨南大学 山西大学,毕业院校,孙玉卿,0,暨南大学,25
人物生平覃子斌，湖南省大庸县人，1913年毕业于云南讲武堂，抗战期间任中国远征军第54军198师594团团长,毕业院校,覃子斌,4,云南讲武堂,24
人物生平黄敞，1927年5月1日生于辽宁省沈阳市，祖籍江苏省无锡县,出生地,黄敞,4,辽宁省沈阳市,18
人物经历许卫兵，1987年江苏省如皋师范毕业后分配到海安县实验小学工作，现在海安城南实验小学任校长,毕业院校,许卫兵,4,如皋师范,16
阚清子，出生于1988年，毕业于北京电影学院，和郑爽、景甜是同班同学,毕业院校,阚清子,0,北京电影学院,16
陈松茂（1908－1930），福建省龙岩县（今龙岩市新罗区）城关镇西城西安村人,出生地,陈松茂,0,福建省龙岩县,15
"英国当地时间，2014年10月4日,在伦敦举办的“第22届瑞丹斯电影节”上,日本导演吴美保执导的新作《只在那里发光》荣获最佳外语片大奖",导演,只在那里发光,51,吴美保,42
超过600余采访嘉宾、近400期节目，以及多达300多个心系都市女性情感、生活、职场等各角度的热点主题……由著名媒体人杨澜主创的《天下女人》节目至今已走过了近8年的成长历程，历来收视颇丰、口碑极佳,主持人,天下女人,65,杨澜,59
梁群英（约1733－1798年）字瀛滨，号偃坡，郸城县虎岗乡梁老家人,出生地,梁群英,0,郸城县,24
菲利普·约翰·内维尔（philip john neville），简称“菲尔·内维尔”（phil neville），1977年1月21日出生于英国英格兰大曼彻斯特郡伯里，前职业足球运动员、教练，球员时代司职后卫，曾效力于曼联、埃弗顿等球队,出生地,菲尔·内维尔,35,英国英格兰大曼彻斯特郡伯里,70
张伊菡，原名张菡，毕业于北京师范大学艺术系影视表演专业，中国内地女演员，擅长书法，诗词娴熟，以古龙剧《三少爷的剑》中的纪芙蓉一角为观众所熟知,毕业院校,张伊菡,0,北京师范大学艺术系,12
谢跃进，男，中央党校大学学历，历任南京市江宁县（区）副区长、财政局局长，江宁区副区长，江宁区委常委、常务副区长，南京市乡镇企业管理局（郊县中小企业局）局长、党组书记,毕业院校,谢跃进,0,中央党校,6
专辑:海枯石烂(李翊君的情歌2)李翊君-忘情水作词:李安修作曲:陈耀川noni99---------曾经年少爱追梦,所属专辑,忘情水,20,海枯石烂,3
米勒一家第一季是cbs今秋的重磅新喜剧,出品公司,米勒一家第一季,0,cbs,8
张石川在“亚细亚”导演了一些短故事片，其中《难夫难妻》一片算是中国故事片开山之作,导演,难夫难妻,22,张石川,0
超级英雄super导演：詹姆斯·古恩,导演,超级英雄,0,詹姆斯·古恩,12
3演职员表角色介绍影片幕后2015年5月18日，由中国人民解放军八一电影制片厂和北京良锋骏景文化传媒有限公司联合出品的首部真实展现古田会议历史及意义的重大革命历史题材电影《古田会议》开机仪式暨新闻发布会在北京举行,出品公司,古田会议,65,八一电影制片厂,32
《剑道爱》是一部由吴宗宪执导的影片，吴宗宪等人参加演出,导演,剑道爱,1,吴宗宪,9
大儿子曾国祥是台湾新生代的演员，编剧，导演， 首次执导的《恋人絮语》荣获2010年第四十七届台湾电影金马奖最佳新导演提名，二儿子曾国犹是歌神张学友的特别助理,导演,恋人絮语,29,曾国祥,3
《如果是真爱》是初夏的妖的一部穿越架空类小说，连载于小说吧,连载网站,如果是真爱,1,小说吧,26
《速度与激情》系列作为好莱坞环球影业一个历史比较长久的ip（第一部为2001年上映），距今已经走过了17个年头，尽管前6作票房已经算是不错，但在2015年时，由华裔导演温子仁执导的《速度与激情7》全球斩下15.16亿美元的票房，夺得全球电影史上票房榜第六位的绝佳成绩后，环球影业则开始考虑扩展整个“速激宇宙”的规划,导演,速度与激情7,91,温子仁,84
霍江林，2001年本科毕业于中国石油大学（华东）经济管理学院会计学专业，2004年硕士研究生毕业于中国石油大学,毕业院校,霍江林,0,中国石油大学,14
薛欣，女，1973年2月出生于辽宁省沈阳市,出生地,薛欣,0,辽宁省沈阳市,15
《花的懒人料理》是由日本tbs电视台放送的一部深夜日剧，由仓科加奈、加藤成亮、菊池亚希子、児岛一哉等主演,出品公司,花的懒人料理,1,tbs,12
作者简介：王征兵（1964-），男，陕西兴平人，博士，西北农林科技大学经济管理学院教授，博士生导师,出生地,王征兵,5,陕西兴平,18
2005年4月中国司法部长张福森与法国司法部长佩尔在巴黎签署《中法刑事司法协助协定》，这是中国与欧盟成员国签署的第一个刑事司法协助协定,国籍,张福森,13,中国,7
当时于正导演正好要拍摄《神雕侠侣》，不少网友都是想要于正导演请她来出演小龙女,导演,神雕侠侣,12,于正,2
刘永洁，男，1985年生于山东青州，2006至2010年本科就读于中国人民大学艺术学院，师从陈传席、许俊、黄华三、陈浩、高毅等老师,出生地,刘永洁,0,山东青州,13
