sentence,attribute,entity,entity_offset,attribute_value,attribute_value_offset
太史慈，字子义，为了报答孔融对母亲的照顾，在孔融被黄巾贼围困的时候，亲自突出重围向刘备求援，最终在援军的帮助下解了北海之围,字,太史慈,0,子义,5
中国人寿保险（集团）公司监事长  党委副书记陈方磊，男，汉族，中共党员,民族,陈方磊,22,汉族,28
胡宝忠，男，汉族，1962年7月出生，山东菏泽人，九三学社社员、中共党员，1985年7月参加工作，东北林业大学植物学专业毕业，在职研究生学历，农学博士，教授,民族,胡宝忠,0,汉族,6
王安石（1021～1086年），字介甫，号半山，江西临川人，北宋政治家、思想家、诗人、散文家,朝代,王安石,0,北宋,30
王安石（1021～1086年），字介甫，号半山，江西临川人，北宋政治家、思想家、诗人、散文家,字,王安石,0,介甫,17
张泳穆，女，生于1893年，字端君,字,张泳穆,0,端君,15
克雷格·孔维，是一名足球运动员，身高178cm,身高,克雷格·孔维,0,178cm,18
而且“九”并不是一个指定的数字，它更多代表着一种至高无上，龙多好色，可能有没有被记载进来的儿子也说不定~一直到明代才出现了一些不同关于龙生九子的描述，比如陆荣的《菽（shu）园杂记》、李东阳的《怀麓（lu）堂集》、杨慎的《升庵集》、李诩（xu）的《戒庵老人漫笔》、徐应秋的《玉芝堂杂荟》、沈德符的《万历野获编》等，对诸位龙子的情况均有记载，但并不一致,朝代,徐应秋,132,明代,55
郭法杰，男，1964年10月生，汉族，河南商丘人，大学学历，法学硕士，1985年5月加入中国共产党，1987年7月参加工作,民族,郭法杰,0,汉族,16
吴开兆，男，1946年出生，汉族，祖籍江苏盐城人，著名风水大师,民族,吴开兆,0,汉族,14
余有礼   女，汉族，1938年生,民族,余有礼,0,汉族,8
人物简介韦盛初，壮族，11950年7月1日出生于广西上林县,民族,韦盛初,4,壮族,8
韩校岚，汉族，男，秦皇岛市城乡规划局纪检组长、党组成员,民族,韩校岚,0,汉族,4
简介磨虹是来自广西南宁的壮族女子，曾在广西电视台担任过体育记者,民族,磨虹,2,壮族,12
王建民，男，汉族，国籍中国，现职千岛湖县人大常委会副主任,民族,王建民,0,汉族,6
王建民，男，汉族，国籍中国，现职千岛湖县人大常委会副主任,民族,王建民,0,汉,6
王建民，男，汉族，国籍中国，现职千岛湖县人大常委会副主任,民族,建民,1,汉族,6
个人简介张其慧，男，苗族，1959年9月生，湖南省古丈县人,民族,张其慧,4,苗族,10
周保极[清]字彝范，号晴川，浙江平湖人，家乍浦,字,周保极,0,彝范,7
马莉，（1968一 ) 播音主持名马捷，男，回族，甘肃兰州人,民族,马莉,0,回族,22
《基督最后的诱惑》是由马丁·斯科塞斯执导，威廉·达福、哈威·凯特尔、芭芭拉·赫希主演的剧情片，于1988年8月12日在美国上映,上映时间,基督最后的诱惑,1,1988年8月12日,48
《极恶乱暴者》改编自田岛隆原作，东风孝广作画的同名漫画作品，是由日本富士电视台于2014年4月14日制作并播出的11集剧情电视剧,上映时间,极恶乱暴者,1,2014年4月14日,40
黄春雪，女，壮族，1976年1月出生，广西田阳人，1998年7月参加工作，广西大学农业推广专业毕业，硕士研究生学历，现任广西百色市那坡县人民政府副县长,民族,黄春雪,0,壮族,6
2、王戎（234年－305年7月11日），字濬冲,字,王戎,2,濬冲,22
诗佛--王维(701年-761年)，汉族，唐朝河东蒲州(今山西运城)人，祖籍山西祁县，唐朝著名诗人、画家，字摩诘，号摩诘居士，世称“王右丞”，早年信道，后期因社会打击彻底禅化，因此被称为“诗佛”,字,王维,4,摩诘,54
诗佛--王维(701年-761年)，汉族，唐朝河东蒲州(今山西运城)人，祖籍山西祁县，唐朝著名诗人、画家，字摩诘，号摩诘居士，世称“王右丞”，早年信道，后期因社会打击彻底禅化，因此被称为“诗佛”,民族,王维,4,汉族,18
诗佛--王维(701年-761年)，汉族，唐朝河东蒲州(今山西运城)人，祖籍山西祁县，唐朝著名诗人、画家，字摩诘，号摩诘居士，世称“王右丞”，早年信道，后期因社会打击彻底禅化，因此被称为“诗佛”,朝代,王维,4,唐朝,21
1994年，参演《七侠五义》饰演南侠展昭,上映时间,七侠五义,9,1994年,0
何庆元（1785~1850），字子贞，号积之，别号漱石,字,何庆元,0,子贞,16
汪涛，男，1970年12月出生，汉族，湖北省襄樊市人，中共党员，武汉大学珞珈学者特聘教授，经济学博士,民族,汪涛,0,汉族,16
武根娃，男，汉族，1962年1月出生，籍贯内蒙古卓资县，1985年8月参加工作，1984年9月加入中国共产党，农业推广硕士学历，现任政协太仆寺旗九届委员会主席,民族,武根娃,0,汉族,6
《至尊红颜》又名《武媚娘传奇》，是由颢然执导，贾静雯，赵文卓、保剑锋等主演的古装武侠剧，于2003年上映,上映时间,至尊红颜,1,2003年,45
比如谷歌联合创始人谢尔盖·布林、雅虎联合创始人杨致远、惠普CEO梅格·惠特曼、FacebookCEO马克·扎克伯格等等,创始人,雅虎,16,杨致远,23
《小贼、美女和妙探》由导演沙恩·布莱克指导，小罗伯特·唐尼，方·基默，米歇尔·莫娜汉领衔主演的惊悚喜剧片，影片于2005年09月06日上映,上映时间,小贼、美女和妙探,1,2005年09月06日,56
徐军辉，男，汉族，1966年4月出生在浙江省开化县，进修于北京解放军艺术学院美术系，师从刘大为，施国良，龙瑞，周思聪等老师,民族,刘大为,44,汉族,6
徐军辉，男，汉族，1966年4月出生在浙江省开化县，进修于北京解放军艺术学院美术系，师从刘大为，施国良，龙瑞，周思聪等老师,民族,徐军辉,0,汉族,6
徐军辉，男，汉族，1966年4月出生在浙江省开化县，进修于北京解放军艺术学院美术系，师从刘大为，施国良，龙瑞，周思聪等老师,民族,龙瑞,52,汉族,6
徐军辉，男，汉族，1966年4月出生在浙江省开化县，进修于北京解放军艺术学院美术系，师从刘大为，施国良，龙瑞，周思聪等老师,民族,周思聪,55,汉族,6
穆金龙，男，汉族，1969年11月出生，河北南皮人，大学学历，1991年7月参加工作，1998年5月入党,民族,穆金龙,0,汉族,6
姜维字伯约，天水冀县（今甘肃甘谷东南）人,字,姜维,0,伯约,3
《风林火山》是由日本NHK于2007年1月7日制作并播出的50集大河剧,上映时间,风林火山,1,2007年1月7日,14
骆秉章(1793年-1866年)，原名骆俊，字吁门，号儒斋，广东花县人,字,骆秉章,0,吁门,23
冯治良，男，汉族，1974年9月出生，籍贯甘肃靖远，历任甘肃省水利厅水利工程建设质量与安全管理中心工程科科长,民族,冯治良,0,汉族,6
基本资料球员:高柏伦  生日:1987年9月17日  身高:184cm  体重:87kg  球衣号码:12  效力球队:KPV科科拉  前度效力球队:爵士FC  曾经效力球队:爵士FC球队阵容前锋  费尔南多,身高,高柏伦,7,184cm,30
罗生华，男，壮族，1964年4月出生，籍贯广西巴马，1998年1月加入中国共产党,民族,罗生华,0,壮族,6
刘义隆（407年－453年3月16日），即宋文帝（424年－453年在位），小字车儿，中国南北朝时期刘宋王朝的第三位皇帝，宋武帝刘裕第三子，宋少帝刘义符之弟，初封宜都王，元嘉元年（424年）即位，在位三十年，年号“元嘉”,字,刘义隆,0,车儿,40
李清照李清照，出生于山东省济南，号易安居士,字,李清照,0,易安居士,17
人物简介柴广军，男，汉族，1966年12月生于黑龙江省宾县,民族,柴广军,4,汉族,10
田红梅，女，傣族，云南弥勒人，1974年9月生，省委党校研究生，1995年7月参加工作，1994年12月加入中国共产党，现任弥勒市人民政府副市长、党组成员、市发展和改革局党委副书记、局长,民族,田红梅,0,傣族,6
卢继泽(1909-1952) ，壮族，广西河池市河池镇大卢村长好屯人,民族,卢继泽,0,壮族,16
徐有贞（1407年－1472年），初名珵，字元玉，又字元武，晚号天全翁，南直隶吴县（今江苏苏州）人，明朝中期内阁首辅，因封爵武功伯，世称徐武功,字,徐有贞,0,元武,27
徐有贞（1407年－1472年），初名珵，字元玉，又字元武，晚号天全翁，南直隶吴县（今江苏苏州）人，明朝中期内阁首辅，因封爵武功伯，世称徐武功,字,徐有贞,0,元玉,22
徐有贞（1407年－1472年），初名珵，字元玉，又字元武，晚号天全翁，南直隶吴县（今江苏苏州）人，明朝中期内阁首辅，因封爵武功伯，世称徐武功,朝代,徐有贞,0,明朝,50
郭应聘(1520～1586年) 字君宝，号华溪,字,郭应聘,0,君宝,17
刘洪伟，曲阜市杏坛中学，男，汉族，党员，本科学历，1997年参加工作，中教高级,民族,洪伟,1,汉族,14
刘洪伟，曲阜市杏坛中学，男，汉族，党员，本科学历，1997年参加工作，中教高级,民族,刘洪伟,0,汉族,14
于谦（1398—1457年），字廷益，号节庵,字,于谦,0,廷益,16
西汉文帝时，匈奴犯汉，文帝派河内太守周勃之子周亚夫为将军，屯兵于细柳营（今陕西咸阳西南）御敌，军纪严整,朝代,周亚夫,22,西汉,0
周少忠，男，广东省揭阳市人，汉族，1966年11月出生，学历本科，1984年10月参加工作，1988年7月加入中国共产党，现任中共普宁市委常委、市人民武装部部长,民族,共普,64,汉族,14
周少忠，男，广东省揭阳市人，汉族，1966年11月出生，学历本科，1984年10月参加工作，1988年7月加入中国共产党，现任中共普宁市委常委、市人民武装部部长,民族,周少忠,0,汉族,14
刘惠平，女， 1956年12月出生于上海，籍贯山东，汉族,民族,刘惠平,0,汉族,26
侯心昌 男，汉族，出生于1939年12月，四川宜宾人，1965年毕业于西南农学院（现西南农业大学）园艺系果树蔬菜专业，分宜宾从事果树生产工作,民族,侯心昌,0,汉族,6
詹长权，汉族，1960年8月23日出生，台湾省彰化县人,民族,詹长权,0,汉族,4
《跟踪追击》是1963年由卢珏导演，林岚、林书锦主演的剧情侦破类电影,上映时间,跟踪追击,1,1963年,7
而后段思平任通海节度使，后于五代后晋天福二年(丁酉年)建国，称太祖神圣文武帝，成为大理国王,朝代,段思平,2,大理,41
而后段思平任通海节度使，后于五代后晋天福二年(丁酉年)建国，称太祖神圣文武帝，成为大理国王,朝代,段思平,2,大理国,41
杨师忠，男，汉族，1965年8月出生，大专学历，中共党员，现任永平县公安局法制室主任（副科）,民族,杨师忠,0,汉族,6
沈杰，男，1969年12月出生，汉族，籍贯江苏兴化，中央党校大学，1987年11月参加工作，1990年1月加入中国共产党,民族,沈杰,0,汉族,16
法伟堂（1843年-1907年），字容叔，号小山，山东省胶州城东南法家庄人,字,法伟堂,0,容叔,18
韦安，男，壮族，1968年7月7日出生，广西来宾市兴宾区五山乡排墓村人，1995年3月加入中国共产党，1990年11月1日参加工作，大学本科学历，现任广西来宾市兴宾区机关事务局局长、区委办公室副主任（兼）（正科长级）、机关后勤服务中心主任（兼）,民族,韦安,0,壮族,5
陈治琼同志1，女，汉族，1964年4月出生，四川泸县人，1989年5月加入中国共产党，1984年3月参加工作，省委党校法律专业毕业，大学学历，现任中共合江县委常委、县政府副县长,民族,陈治琼,0,汉族,9
8接手父众咸宁五年（279年），刘渊的父亲左部帅刘豹去世，西晋朝廷于是任命刘渊为代理左部帅,朝代,刘渊,16,西晋,29
《交响情人梦》是富士电视台于2006年10月16日首播的电视剧，是根据二之宫知子的同名漫画改编，由武内英树及川村泰佑联合执导，上野树里，玉木宏，瑛太等主演的爱情偶像剧1,上映时间,交响情人梦,1,2006年10月16日,14
刘金义，男，汉族，1982年8月12日出生，湖北省黄石市铁山人,民族,刘金义,0,汉族,6
张英，女，汉族，国籍中国，湖北工业大学经济与政法学院教授,民族,张英,0,汉族,5
张英，女，汉族，国籍中国，湖北工业大学经济与政法学院教授,民族,张英,0,汉,5
作者介绍：欧阳修（1007年－1072年），字永叔，号醉翁、六一居士，欧阳修是在宋代文学史上最早开创一代文风的文坛领袖,字,欧阳修,5,永叔,23
陈应昌[清]字菊友，钱塘（今杭州）诸生，官江苏直隶州知州,字,陈应昌,0,菊友,7
解析：“但愿人长久，千里共婵娟”出自于北宋苏轼的《水调歌头(明月几时有)》，意思是希望自己思念的人平安长久，不管相隔千山万水，都可以一起看到明月皎洁美好的样子,朝代,苏轼,21,北宋,19
黄叙，是汉末人物，蜀汉后将军黄忠之子，南阳（今河南南阳）人，早年逝世，无后1,民族,黄忠,14,汉,4
李社会，男，1964年8月生，汉族，河南济源人，大学学历，九三学社济源主委，主任医师,民族,李社会,0,汉族,15
当一幅1842年英国绘制的中国的范围仍然在长城以南的区域时，(62)同年即道光二十二年(1842)清朝绘制的地图则是包括了今日中国与外蒙古在内的版图，如图10所示,朝代,道光,37,清朝,49
许荣模，男，汉族，福建莆田市人，1972年11月出生，1994年4月加入中国共产党，1997年8月参加工作，研究生学历,民族,许荣模,0,汉族,6
”2000年开始与郭德纲合作表演相声，之后参与电视剧《九九归一》的拍摄，2001年出演电视剧《天下第一丑》，接着又参与电视剧《孙中山》的拍摄，2010年主演电影《三笑之才子佳人》，2013年与郭德纲搭档登上春晚舞台,上映时间,九九归一,27,2000年,1
林清玄外文名称Lin Qingxuan别名秦情、林漓、林大悲等国籍 中国民族汉族出生地中国台湾省高雄旗山出生日期1953年农历二月上旬职业台湾自由写作家 毕业院校台湾世界新闻专科学校信仰佛教主要成就&quot,民族,林清玄,0,汉族,38
一条鞭法还通过清丈土地的方式来清查全国的耕地，明朝中期很多地主往往贿赂当地官员虚报自己的资产，而张居正来的这一手，直接断了他们闷声发大财的机会哦,朝代,张居正,48,明朝,23
五、李世民唐朝唐太宗李世民的丰功伟绩不必多说，但是他也是个伪君子,朝代,李世民,2,唐朝,5
马伟，男，回族，1985年12月生，安徽省安庆市人，大学文化，2006年加入中国共产党，现为中共党员,民族,马伟,0,回族,5
一是毒辣型，代表人物是唐朝的太平公主，她坚定地做母亲武则天的接班人，梦想有朝一日君临天下，所以杀人的时候从来不带犹豫，能杀两个，绝对不杀一个,朝代,武则天,26,唐朝,11
南宋抗金名将，位列南宋中兴四将之一，传说岳飞出生时，有大禽若鹄，飞鸣室上，故父母给他取名飞，字鹏举,字,岳飞,20,鹏举,47
《孔涛》生于1988年3月28日山东曲阜，身高178cm、体重70kg就职于湖南湘涛足球俱乐部,身高,孔涛,1,178cm,23
孙柚字梅锡，一作禹锡，号遂初、遂初山人,字,孙柚,0,梅锡,3
杨自权，男，苗族，大学专科，无党派，1963年2月出生， 1984年7月参加工作,民族,杨自权,0,苗族,6
"”清代蒲松龄在聊斋志异《》：上于盆而养之,蟹白栗黄,备极护爱,留待限期,以塞官责",朝代,蒲松龄,3,清代,1
陆福仁，男，汉族，1941年2月出生，中共党员，高级工程师，1959年毕业于南京地质学校大地测量专业,民族,陆福仁,0,汉族,6
王开伦  男，汉族，辽宁海城人,民族,王开伦,0,汉族,7
人物简介杨春敏，女，汉族，1955年4月出生，山东省烟台市牟平区人，1975年6月加入中国共产党，1972年3月参加工作，哈尔滨师范大学思想政治教育专业，本科毕业,民族,杨春敏,4,汉族,10
王时钰，男，汉族，1969年2月出生，1991年7月参加工作，1996年6月加入中国共产党，大学学历，法学学士学位，现任沈阳市中级人民法院助理审判员，拟任沈阳市中级人民法院审判员,民族,王时钰,0,汉族,6
杨绘荣，女，汉族，湖南汉寿人，现任山西大学政治与公共管理学院教师、硕士生导师，2010年毕业于中国人民大学，获政治学博士学位，研究方向为西方政治文化与政治思潮、现代政治学理论与方法、社会保障理论,民族,杨绘荣,0,汉族,6
吴文华(1521—1598)，字子彬，号小江，晚更号容所,字,吴文华,0,子彬,16
杜景钟，男，汉族，1958年8月出生，籍贯河北省，中共党员，本科学历，现任天津市河东区常州道街道办事处副主任,民族,杜景钟,0,汉族,6
赏析：李梦阳，字献吉，号空同，祖籍河南扶沟,字,李梦阳,3,献吉,8
北京百川房地产经纪公司是由北京日报新闻发展总公司和北京吉百川经贸发展有限公司及房地产策划人李磊先生等发起并组建成立的，以房地产项目投资顾问、项目评估、市场调研、营销设计、融资运作、销售代理服务为主的投资顾问型房地产经纪公司,创始人,北京百川房地产经纪公司,0,李磊,45
《加罗律师第一季》是PeterLydon执导，安德鲁·巴肯、鲁伯特·格雷夫斯等主演的传记类连续剧，于2009年11月1日首播,上映时间,加罗律师第一季,1,2009,50
申瑞涛，女，汉族，1957年生，山西省左权人，山西省经济和信息化委员会副主任（正厅长级），无党派人士，1982年太原重型机械学院轧钢机械专业毕业，工学学士，天津财经学院金融学专业研究生毕业，获经济学硕士，获美国福坦莫大学工商管理硕士,民族,申瑞涛,0,汉族,6
陆路，男，1963年5月生，汉族，江苏南京人，省委党校研究生学历，高级经济师，1982年11月加入中国共产党，1979年9月参加工作,民族,陆路,0,汉族,14
姓名：塔比英文名： Taby生日：1982-11-13场上位置：前卫身高：174厘米体重：70公斤惯用脚：右脚,身高,塔比,3,174厘米,37
沙茂伟，男，汉族，1953年11月生，辽宁省大连市人1，中共党员，教授级高级工程师，兼任辽宁省建设教育协会会长,民族,沙茂伟,0,汉族,6
吴卫红，女，汉族，1966年11月出生，福建永定人，1986年11月加入中国共产党，1987年8月参加工作，厦门大学历史学专业毕业，大学学历,民族,吴卫红,0,汉族,6
赵东巍，男，汉族，1966年7月出生，吉林伊通人，1985年4月参加工作，中共党员，在职研究生学历,民族,赵东巍,0,汉族,6
赵东巍，男，汉族，1966年7月出生，吉林伊通人，1985年4月参加工作，中共党员，在职研究生学历,民族,吉林,19,汉族,6
王伟涛，男，汉族，1979年10月出生（31岁），陕西宝鸡人，1997年12月参加工作，1999年10月加入中国共产党，在职大专学历（2006年3月新疆广播电视大学和田分校法律专业毕业），身体健康,民族,王伟涛,0,汉族,6
万洪富，男，1944年4月生，四川成都人，汉族,民族,万洪富,0,汉族,21
徐其桓：男，汉族，1964年2月出生，中共党员，大学本科学历，正高级工程师职称,民族,徐其桓,0,汉族,6
崔立新，男，汉族，1966年9月出生，河北蠡县人，研究生学历,民族,崔立新,0,汉族,6
剧情简介【影片原名】Kitty Killers  【中文译名】杀手凯蒂  【出品年代】2001 年  【IMDB链接】  【IMDB评分】4,上映时间,杀手凯蒂,31,2001,43
沈允亨  [清]字孟嘉，钱塘（今杭州）人,字,沈允亨,0,孟嘉,9
曹振萍，女，回族，安徽涡阳人，大学学历，农学学士，无党派,民族,曹振萍,0,回族,6
陈汉夫，男，汉族，福建东山人，1961年7月出生，1984年12月加入中国共产党，1977年7月参加工作，中央党校研究生学历,民族,陈汉夫,0,汉族,6
程进，男，汉族，贵州遵义人，1981年3月生，2003年7月参加工作，中共党员，研究生学历,民族,程进,0,汉族,5
沈涛(约1792—1855)，原名尔岐，尔政，字西雍，号匏庐，浙江嘉兴人,字,沈涛,0,西雍,24
《密室之不可靠岸》在上映首周末即获千万票房，成为2011年11月同期上映的国产影片票房冠军，为国内推理片打了一场漂亮的翻身仗,上映时间,密室之不可靠岸,1,2011年,24
金晶，女，汉族，1978年1月出生，浙江杭州人，2005年7月加入中国共产党，2001年7月参加工作，中国广播电视大学本科毕业,民族,金晶,0,汉族,5
《决战玄武门》是香港无线电视的剧集，于1984年首播，共20集,上映时间,决战玄武门,1,1984年,19
姚三军，男，侗族，1974年10月15日出生于湖南省怀化地区洪江市（原黔阳县）,民族,姚三军,0,侗族,6
马志勇，男，汉族，1971年12月生，籍贯河北青县，出生地山东济南，省委党校研究生学历，中共党员,民族,马志勇,0,汉族,6
王琼（1459年－1532年），字德华，号晋溪，别署双溪老人，山西太原（今太原市刘家堡）人,字,王琼,0,德华,17
"韩时英，男，大学本科学历，生于1953年8月14日,河北唐山人,汉族,中共党员",民族,韩时英,0,汉族,32
朱元璋，大明朝的创始人和第一任执政者,朝代,朱元璋,0,明朝,5
但汉曙，男，1954年9月出生，汉族，湖北赤壁人，1982年3月参加工作，1987年7月毕业于中央农业广播学校农学专业，大专学历，高级农艺师，现任赤壁市农业局植保站站长，赤壁市政协委员,民族,但汉曙,0,汉族,16
【2002】 俞士汶、段慧明、朱学锋、孙斌，北京大学现代汉语语料1库基本加工规范，《中文信息学报》，2002年，第16卷第5期，P49-64,民族,孙斌,19,汉,28
刘淑玉，女，汉族，1964年5月生，四川乐山人，民盟盟员，1983年9月参加工作，大学,民族,刘淑玉,0,汉族,6
安如山（1505～1570），字子静，号胶峰，南直隶无锡人,字,安如山,0,子静,16
朱晓东，男，汉族，1972年5月生，山西岚县人，大学学历，1996年6月加入中国共产党，1996年7月参加工作,民族,朱晓东,0,汉族,6
2012年12月3日，主演《隋唐英雄》中国首播,上映时间,隋唐英雄,14,2012年12月3日,0
》一文中说：“‘食无鱼’典出《战国策》，记助孟尝君复相位之门客冯驩微时事……”,朝代,冯驩,31,战国,15
但是他这个名字太不好记了，大家就用唐朝的一个战神李靖取代了他,朝代,李靖,24,唐朝,17
姓氏：钮祜禄氏  名字：阿尔松阿  英文名：O al loose  民族：满族  旗籍：镶黄旗  职业：袭二等公→领侍卫内大臣→刑部尚书  国籍：中国清朝  出生地：北京  父亲：钮祜禄·阿灵阿,民族,阿尔松阿,12,满族,37
甘世保， 男，汉族，湖北浠水人，生于1963年2月，1980年6月参加工作，1990年7月入党，大学学历,民族,甘世保,0,汉族,7
北魏孝武帝西入函谷关，任赵贵为车骑大将军等职,朝代,赵贵,12,北魏,0
梅超华，男，汉族，湖北武汉（黄陂）人，中共党员，1963年12月出生，研究生学历，硕士，1985年7月参加工作，1999年5月入党，现任潜江市人民政府副市长,民族,梅超华,0,汉族,6
王红，女，汉族，1968年5月生，浙江杭州人，1986年11月入伍，1992年6月加入中国共产党，浙江省委党校党政管理专业毕业，本科学历,民族,王红,0,汉族,5
基本简介王学勇，男，汉族，中共党员，一九七〇年一月出生于河北省临漳县，一九九四年七月毕业于河北林学院林学专业，本科，四年，农学学士,民族,王学勇,4,汉族,10
1984年香港无线电视剧集《碧血洗银枪》，由陶大宇主演,上映时间,碧血洗银枪,14,1984年,0
当时，李的父亲李虎和元贞皇后的父亲独孤信都是北周朝的八大柱国，独孤信非常欣赏像李这样年轻有为，文武双全，还立有许多战功的小辈，见两家门当户对，便托人向李虎家求婚，把四女儿独孤氏许配给一表人才的李,朝代,独孤信,17,北周,22
陈昉 （约公元1224年前后在世）字叔方，号节斋，温州平阳人,字,陈昉,0,叔方,18
缪亮身高为2米01，体重为80公斤，司职小前锋，身穿23号号码,身高,缪亮,0,2米01,5
张建立：男，吉他教师，中共党员，汉族人，籍贯：山西，生于1987年08月28日,民族,张建立,0,汉族,16
曾宪鹍，男，汉族，1979年05月生，广西合浦人，2000年12月加入中国共产党，2002年07月参加工作，2002年06月中南大学工程管理专业毕业，现任中共南宁市青秀区伶俐镇委员会委员、副镇长,民族,曾宪鹍,0,汉族,6
梁重民，男，汉族，革命烈士,民族,梁重民,0,汉族,6
杨春敏，女，汉族，1955年4月出生，山东省烟台市牟平区人，1975年6月加入中国共产党，1972年3月参加工作，哈尔滨师范大学思想政治教育专业，本科毕业,民族,杨春敏,0,汉族,6
蔡祖派，福建人，汉族，本科学历，高级政工师,民族,蔡祖派,0,汉族,8
杜善学，男，汉族，1956年2月生，山西临猗人，1975年3月加入中国共产党，1976年6月参加工作，1982年山西财经大学会计专业毕业，2000年山西大学研究生学历，哲学硕士学位,民族,杜善学,0,汉族,6
《云之阶梯》改编自渡边淳一的同名小说，是由日本电视台（NTV）于2013年4月17日制作并播出的10集爱情电视剧,上映时间,云之阶梯,1,2013年4月17日,32
唐丽君， 女， 汉族，山东烟台人，1962年11月生，任内蒙古财政厅预算处副调研员，挂职任二连浩特市人民政府副市长,民族,唐丽君,0,汉族,8
个人简介刘方平（生卒年不详），字、号均不详，唐玄宗天宝年间诗人，洛阳（今河南洛阳）人，生平事迹不详,朝代,刘方平,4,唐玄宗天宝年间,22
”(李贽《何心隐论》，《焚书》卷三)他的被害和李贽一样，是明代思想史上轰动一时的冤案,朝代,李贽,2,明代,29
简介贺正余2，男，汉族，1964年2月生，金堂白果镇人， 1985年7月加入中国共产党，1982年8月参加工作，四川省工商管理学院工商管理专业毕业，研究生文化,民族,贺正余,2,汉族,9
杨本森，男，汉族，1966年9月出生于重庆永川，1987年12月参加工作，1986年7月加入中国共产党，党校大学,民族,杨本森,0,汉族,6
丁文德，字子章，男，1940年10月出生，汉族，陕西吴堡县人，毕业于陕西省卫生学校,民族,丁文德,0,汉族,21
个人简介谢伯欣，男，汉族，1957年10月出生，广东开平人，1982年8月参加工作，1984年5月加入中国共产党，学历省委党校大学,民族,谢伯欣,4,汉族,10
[4]2010年6月22日，林志玲与孙红雷、李立群、甘薇合作主演的动作电影《决战刹马镇》上映,上映时间,决战刹马镇,38,2010,3
张载与周敦颐、邵雍、程颐、程颢合称“北宋五子”，有《正蒙》、《横渠易说》等著述留世,朝代,张载,0,北宋,18
张载与周敦颐、邵雍、程颐、程颢合称“北宋五子”，有《正蒙》、《横渠易说》等著述留世,朝代,邵雍,7,北宋,18
张载与周敦颐、邵雍、程颐、程颢合称“北宋五子”，有《正蒙》、《横渠易说》等著述留世,朝代,程颢,13,北宋,18
程桂伶，女，汉族，1973年3月出生，桥梓镇杨家东庄人，市委党校研究生学历，1998年6月入党，1994年9月参加工作,民族,程桂伶,0,汉族,6
储光羲：唐代诗人,朝代,储光羲,0,唐代,4
艾尼文生日:1976年2月18日，身高:192cm，体重:85kg，加盟日期:2008-7,身高,艾尼文,0,192cm,20
李尚益，男，1957年5月生，汉族，湖南邵东人，1977年2月参加工作，1985年6月加入中国共产党,民族,李尚益,0,汉族,15
段志良 男，汉族，1952年5月出生，甘肃康乐人，大学普通班学历，助理工程师，中共党员,民族,段志良,0,汉族,6
李时晓，男，汉族，大学文化（毕业于中央党校函授法律专业），1975年11月生，1995年8月参加工作，2002年7月加入中国共产党，云南省马关县人，现任马关县公安局刑事侦查大队副大队长,民族,李时晓,0,汉族,6
苗宏慧，女，汉族，1974年10月18日出生,民族,苗宏慧,0,汉族,6
李晓光，汉族，重庆人，在富士康科技集团从事一线研发工作,民族,李晓光,0,汉族,4
李晓光，汉族，重庆人，在富士康科技集团从事一线研发工作,民族,晓光,1,汉族,4
基本资料球员:马天尼斯  生日:1987年2月22日  身高:179cm  体重:68kg  加盟日期:2007-7  球衣号码:23  国籍:墨西哥  效力球队:墨西哥美洲队  场上位置:中场球队阵容前锋  R,身高,马天尼斯,7,179cm,31
简介姚云飞，男，汉族，1956年10月出生于安徽省庐江县，籍贯枞阳县,民族,姚云飞,2,汉族,8
《魔力月光》（Magic in the Moonlight）是 伍迪·艾伦编剧并执导的一部喜剧爱情片，由艾玛·斯通、科林·费斯主演，定于2014年7月25日北美公映,上映时间,魔力月光,1,2014年7月25日,68
"一炮而红·2013年参演湖南卫视暑期热播大剧琼瑶剧《花非花雾非雾》,并饰演男一号齐飞，获得了超高的收视率·由此跻身为一线明星·随后发表了自己的处女作《张睿的时光机》，同年加盟大型综艺节目《两天一夜》",上映时间,花非花雾非雾,26,2013年,5
且跟小编一起看看~朱婷，别名：MVP收割机、大婷婷、朱仙出生地：河南省周口市郸城县秋渠乡朱大楼村身高：198cm星座：射手,身高,朱婷,9,198cm,51
阿比·厄斯格，1989年11月20日出生于新西兰，身高177cm，体重66kg ，足球运动员，多次代表新西兰参加国际足球比赛,身高,阿比·厄斯格,0,177cm,27
于溥泽（1745～1804），字皆霖，又字芥林,字,于溥泽,0,皆霖,16
《虎与龙》是由金子文纪、片山修执导，宫藤官九郎编剧，长濑智也、冈田准一主演的日本电视剧，于2005年4月15日开始在TBS电视台播出,上映时间,虎与龙,1,2005年4月15日,45
基本资料球员:马迪亚  生日:1989年1月14日  身高:186cm  体重:82kg  球衣号码:999  国籍:意大利  效力球队:苏迪路  场上位置:前锋  前度效力球队:里米尼  曾经效力球队:里米尼球队阵容前锋  F,身高,马迪亚,7,186cm,30
个人资料姓名：阿什利·麦肯齐  英文名：Ashley Mckenzie  性别：男  国家：法国  出生日期：1989年07月17日  身高：162cm  体重：60kg  项目：柔道个人简介英国柔道选手1,身高,阿什利·麦肯齐,7,162cm,71
罗学军，男，彝族，1955年10月生，云南宁蒗人，1983年1月入党，1975年8月参加工作，大专学历,民族,罗学军,0,彝族,6
